Date,Description,Amount,Category,Vendor
2024-07-08,Client Payment - ABC Inc,4800.00,Income,ABC Inc
2024-07-09,Industry Conference,-1500.00,Travel,Tech Conference
2024-07-10,Phone Service,-45.00,Utilities,Verizon
2024-07-11,Client Payment - DEF Corp,2400.00,Income,DEF Corp
2024-07-12,Business Lunch,-150.00,Travel,Restaurant
2024-07-13,Legal Services,-1200.00,Professional,Law Firm
2024-07-14,Client Payment - GHI Ltd,3400.00,Income,GHI Ltd
2024-07-15,Insurance Premium,-200.00,Insurance,State Farm
2024-07-16,Client Payment - JKL Inc,2700.00,Income,JKL Inc
2024-07-17,Office Cleaning,-80.00,Office,Cleaning Service
2024-07-18,Client Payment - MNO Corp,4200.00,Income,MNO Corp
2024-07-19,Equipment Repair,-400.00,Equipment,Tech Support
2024-07-20,Client Payment - PQR Ltd,2200.00,Income,PQR Ltd
2024-07-21,Office Furniture,-800.00,Office,Office Depot
2024-07-22,Client Payment - STU Inc,3200.00,Income,STU Inc
2024-07-23,Cloud Storage,-25.00,Software,Amazon AWS
2024-07-24,Client Payment - VWX Ltd,2600.00,Income,VWX Ltd
2024-07-25,Office Snacks,-120.00,Office,Costco
2024-07-26,Client Payment - YZA Corp,3800.00,Income,YZA Corp
2024-07-27,Website Hosting,-15.00,Software,GoDaddy
2024-07-28,Client Payment - BCD Ltd,3000.00,Income,BCD Ltd
2024-07-29,Office Plants,-70.00,Office,Home Depot
2024-07-30,Client Payment - EFG Inc,3500.00,Income,EFG Inc
2024-07-31,Monthly Accounting,-200.00,Professional,CPA Firm
2024-08-01,Office Supplies,-300.00,Office,Office Depot
2024-08-02,Client Payment - HIJ Corp,4100.00,Income,HIJ Corp
2024-08-03,Software License,-399.00,Software,Adobe
2024-08-04,Internet Service,-89.99,Utilities,Comcast
2024-08-05,Client Payment - KLM Ltd,2900.00,Income,KLM Ltd
2024-08-06,Office Rent,-1200.00,Rent,Property Management
2024-08-07,Marketing Campaign,-2200.00,Marketing,Facebook Ads
2024-08-08,Client Payment - NOP Inc,5000.00,Income,NOP Inc
2024-08-09,New Workstation,-2000.00,Equipment,Apple Store
2024-08-10,Phone Service,-45.00,Utilities,Verizon
2024-08-11,Client Payment - QRS Corp,2500.00,Income,QRS Corp
2024-08-12,Client Meeting Travel,-700.00,Travel,Delta Airlines
2024-08-13,Legal Consultation,-1400.00,Professional,Law Firm
2024-08-14,Client Payment - TUV Ltd,3600.00,Income,TUV Ltd
2024-08-15,Insurance Premium,-200.00,Insurance,State Farm
2024-08-16,Client Payment - WXY Inc,2800.00,Income,WXY Inc
2024-08-17,Office Cleaning,-80.00,Office,Cleaning Service
2024-08-18,Client Payment - ZAB Corp,4400.00,Income,ZAB Corp
2024-08-19,Printer Toner,-100.00,Equipment,Office Depot
2024-08-20,Client Payment - CDE Ltd,2400.00,Income,CDE Ltd
2024-08-21,Office Chairs,-500.00,Office,IKEA
2024-08-22,Client Payment - FGH Inc,3100.00,Income,FGH Inc
2024-08-23,Cloud Storage,-25.00,Software,Amazon AWS
2024-08-24,Client Payment - IJK Ltd,2700.00,Income,IJK Ltd
2024-08-25,Office Coffee,-90.00,Office,Starbucks
2024-08-26,Client Payment - LMN Corp,3900.00,Income,LMN Corp
2024-08-27,Website Hosting,-15.00,Software,GoDaddy
2024-08-28,Client Payment - OPQ Ltd,3200.00,Income,OPQ Ltd
2024-08-29,Office Plants,-80.00,Office,Home Depot
2024-08-30,Client Payment - RST Inc,3400.00,Income,RST Inc
2024-08-31,Monthly Accounting,-200.00,Professional,CPA Firm




